vehicle_id,license_plate,station,mileage,Booking Pickup Date,Booking Return Date,LINK TO WAVE,Next Booking Pickup Date,Next Booking Return Date,Return+3,Active until,Sticky Next Value,Sticky Update Flag
WV1ZZZSY4R9065503,WI RS 7369,Madrid,61395,26/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10455/edit,15/1/2026,19/1/2026,12/1/2026,12/1/2026,,0
WV1ZZZSY6R9061145,WI RS 7023,Kiel,58347,27/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/12038/edit,13/10/2025,1/11/2025,12/1/2026,12/1/2026,,0
WV1ZZZSY8P9047857,WI RS 4245,Rome,99712,2/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/8888/edit,30/1/2026,2/2/2026,12/1/2026,12/1/2026,,0
WV1ZZZSY0R9051680,WI RS 6183,Malaga,51600,20/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/11908/edit,9/1/2026,23/1/2026,12/1/2026,12/1/2026,,0
WV1ZZZSYXP9032423,WI RS 3230,Turin,91270,5/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/8812/edit,15/5/2026,25/5/2026,12/1/2026,12/1/2026,,0
WV1ZZZSY2P9035946,WI RS 3088,Sevilla,92589,5/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/8758/edit,30/1/2026,4/2/2026,12/1/2026,12/1/2026,,0
WV1ZZZSY5R9042473,WI RS 5802,Gothenburg,60944,27/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13321/edit,29/9/2025,7/10/2025,12/1/2026,12/1/2026,,0
WV1ZZZSY8R9054973,WI RS 6415,Madrid,68322,2/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/11980/edit,2/1/2026,9/1/2026,12/1/2026,12/1/2026,,0
WV3ZZZSZ8P9028807,WI RS 7493,Hannover,71513,30/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/7823/edit,31/7/2026,17/8/2026,12/1/2026,12/1/2026,,0
WF0EXXTTREPE26377,WI RS 4832,Munich,53468,7/6/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/9380/edit,8/6/2026,15/6/2026,12/1/2026,12/1/2026,,0
VF7YGBPAU12X09073,WI RS 5163,Bergamo,42749,3/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10279/edit,17/4/2026,20/4/2026,12/1/2026,12/1/2026,,0
ZFA25000002Z00051,WI RS 7310,Bremen,33285,22/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10804/edit,9/1/2026,12/1/2026,12/1/2026,12/1/2026,,0
3C6MRVJG7PE508202,CSN0336,Los Angeles,113631,27/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10340/edit,9/4/2026,26/4/2026,12/1/2026,12/1/2026,,0
3C6MRVJG2SE518046,CRS2134,San Francisco,49900,2/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13900/edit,14/1/2026,19/1/2026,12/1/2026,12/1/2026,,0
