booking_number,TCU_Data - vin → vin,vehicle_category,station_pickup,station_return,return_datetime,TCU_Data - vin → gnss_latitude,TCU_Data - vin → gnss_longitude,TCU_Data - vin → gmx_odometer,TCU_Data - vin → tcu_updated_datetime,TCU_Data - vin → tcu_id,TCU_Data - vin → gnss_longitude_updated_datetime,TCU_Data - vin → gnss_latitude_updated_datetime,car_id
3230978144,ZFA250001SMB11964,ROAD HOUSE,lyon,lyon,"Feb 4, 2026, 10:00 AM",51.32247000° N,5.08632000° E,"21,126","Feb 3, 2026, 5:17 PM","21,988","Feb 3, 2026, 5:17 PM","Feb 3, 2026, 5:17 PM",15105
3444758362,ZFA25000002Z21259,ROAD HOUSE,barcelona,barcelona,"Feb 4, 2026, 3:00 PM",42.50571000° N,0.35633000° W,"28,768","Feb 3, 2026, 4:41 PM","14,571","Feb 3, 2026, 4:41 PM","Feb 3, 2026, 4:41 PM",11790
3307662309,ZFA25000002X78502,ROAD HOUSE,innsbruck,innsbruck,"Feb 4, 2026, 1:00 PM",45.91765000° N,11.01931000° E,"62,607","Feb 3, 2026, 5:42 PM","20,507","Feb 3, 2026, 5:42 PM","Feb 3, 2026, 5:42 PM",11167
3480639419,ZFA25000002W02169,ROAD HOUSE,erfurt,brussels,"Feb 4, 2026, 11:00 AM",50.77655000° N,4.24361000° E,"71,756","Feb 3, 2026, 8:35 PM","18,193","Feb 3, 2026, 8:35 PM","Feb 3, 2026, 8:35 PM",7102
3498532922,WV2ZZZ7HZNH053823,SURFER SUITE,geneva-pays de gex,geneva-pays de gex,"Feb 4, 2026, 1:00 PM",46.20401000° N,5.96137000° E,"97,203","Feb 3, 2026, 4:05 PM","2,181","Feb 3, 2026, 4:06 PM","Feb 3, 2026, 4:06 PM",6491
3478596481,WV2ZZZSTXSH028581,SUNRISE SUITE,stockholm,stockholm,"Feb 4, 2026, 10:00 AM",59.52993000° N,18.11023000° E,"11,725","Feb 3, 2026, 3:53 PM","23,876","Feb 3, 2026, 3:53 PM","Feb 3, 2026, 3:53 PM",16055
3914230666,WV2ZZZ7HZNH051565,SURFER SUITE,bordeaux,bordeaux,"Feb 4, 2026, 10:00 AM",44.82097000° N,0.69331000° W,"99,053","Feb 4, 2026, 12:39 AM","14,480","Feb 4, 2026, 12:39 AM","Feb 4, 2026, 12:39 AM",6531
3017887036,WV2ZZZ7HZRH051506,SURFER SUITE,lyon,marburg,"Feb 4, 2026, 11:00 AM",,,"35,677","Jul 16, 2025, 10:16 PM","21,680",,,12407
3212755315,WV2ZZZ7HZPH064105,SURFER SUITE,marburg,paris airport (cdg),"Feb 4, 2026, 3:00 PM",48.69080000° N,2.37578000° E,"83,154","Feb 4, 2026, 12:17 AM","4,578","Feb 4, 2026, 12:17 AM","Feb 4, 2026, 12:17 AM",8075
3042228956,WV2ZZZ7HZNH047312,SURFER SUITE,bochum,bochum,"Feb 4, 2026, 3:00 PM",51.46844000° N,7.24709000° E,"82,547","Feb 3, 2026, 4:57 PM","10,992","Feb 3, 2026, 4:57 PM","Feb 3, 2026, 4:57 PM",6339
3204744336,WV2ZZZ7HZRH051907,SURFER SUITE,geneva-pays de gex,geneva-pays de gex,"Feb 4, 2026, 1:00 PM",45.31327000° N,6.54053000° E,"64,682","Feb 4, 2026, 12:17 AM","25,518","Feb 4, 2026, 12:17 AM","Feb 4, 2026, 12:17 AM",12396
3688518641,WV2ZZZ7HZMH096965,SURFER SUITE,berlin-schönefeld,berlin-schönefeld,"Feb 4, 2026, 10:00 AM",52.36797000° N,13.56184000° E,"88,160","Feb 3, 2026, 4:44 PM","5,121","Feb 3, 2026, 4:43 PM","Feb 3, 2026, 4:43 PM",2808
3697858228,WV2ZZZ7HZRH052004,SURFER SUITE,berlin-schönefeld,florence,"Feb 4, 2026, 11:00 AM",52.45357000° N,13.45900000° E,"50,855","Feb 3, 2026, 10:21 PM","21,710","Feb 3, 2026, 10:21 PM","Feb 3, 2026, 10:21 PM",12412
3117505649,WV2ZZZ7HZRH048833,SURFER SUITE,malmo,marburg,"Feb 4, 2026, 11:00 AM",50.82903000° N,8.77093000° E,"47,345","Feb 3, 2026, 11:14 PM","21,717","Feb 3, 2026, 11:14 PM","Feb 3, 2026, 11:14 PM",10452
3950685136,WV2ZZZ7HZRH066534,SURFER SUITE,london,london,"Feb 4, 2026, 10:00 AM",51.46664000° N,0.41981000° W,"36,776","Feb 3, 2026, 4:28 PM","21,769","Feb 3, 2026, 4:28 PM","Feb 3, 2026, 4:28 PM",11045
3131362727,WV2ZZZ7HZRH066220,SURFER SUITE,bristol,bristol,"Feb 4, 2026, 10:00 AM",51.38599000° N,2.69566000° W,"27,768","Feb 3, 2026, 11:43 PM","25,579","Feb 3, 2026, 11:43 PM","Feb 3, 2026, 11:43 PM",11065
3779144911,WV2ZZZ7HZMH108081,SURFER SUITE,linz,erfurt,"Feb 4, 2026, 1:00 PM",51.03048000° N,11.00517000° E,"121,266","Feb 3, 2026, 11:36 PM","5,874","Feb 3, 2026, 11:36 PM","Feb 3, 2026, 11:36 PM",2908
3072938526,W1V44781313958360,TRAVEL HOME,bremen,paris,"Feb 4, 2026, 3:00 PM",48.57909000° N,3.13893000° E,"113,850","Feb 3, 2026, 8:55 PM","3,627","Feb 3, 2026, 8:55 PM","Feb 3, 2026, 8:55 PM",4788
